   data    |  godzina  | wartość temperatury
2021-03-29 | 00:04:13  | 23.5
2021-03-29 | 00:09:13  | 23.56
2021-03-29 | 00:14:13  | 23.63
2021-03-29 | 00:19:13  | 23.63
2021-03-29 | 00:24:13  | 23.56
2021-03-29 | 00:29:13  | 23.56
2021-03-29 | 00:34:13  | 23.5
2021-03-29 | 00:39:13  | 23.5
2021-03-29 | 00:44:13  | 23.44
2021-03-29 | 00:49:13  | 23.38
2021-03-29 | 00:54:13  | 23.31
2021-03-29 | 00:59:13  | 23.31
2021-03-29 | 01:04:13  | 23.25
2021-03-29 | 01:09:14  | 23.25
2021-03-29 | 01:14:14  | 23.19
2021-03-29 | 01:19:14  | 23.13
2021-03-29 | 01:24:14  | 23.06
2021-03-29 | 01:29:14  | 23.06
2021-03-29 | 01:34:14  | 23
2021-03-29 | 01:39:14  | 22.94
2021-03-29 | 01:44:14  | 22.88
2021-03-29 | 01:49:14  | 22.88
2021-03-29 | 01:54:14  | 22.88
2021-03-29 | 01:59:14  | 22.88
2021-03-29 | 02:04:14  | 22.88
2021-03-29 | 02:09:14  | 22.88
2021-03-29 | 02:14:14  | 22.88
2021-03-29 | 02:19:14  | 22.88
2021-03-29 | 02:24:14  | 22.88
2021-03-29 | 02:29:15  | 22.94
2021-03-29 | 02:34:15  | 22.94
2021-03-29 | 02:39:15  | 22.94
2021-03-29 | 02:44:15  | 22.94
2021-03-29 | 02:49:15  | 22.88
2021-03-29 | 02:54:15  | 22.88
2021-03-29 | 02:59:15  | 22.88
2021-03-29 | 03:04:15  | 22.88
2021-03-29 | 03:09:15  | 22.81
2021-03-29 | 03:14:15  | 22.81
2021-03-29 | 03:19:15  | 22.81
2021-03-29 | 03:24:15  | 22.81
2021-03-29 | 03:29:15  | 22.75
2021-03-29 | 03:34:15  | 22.75
2021-03-29 | 03:39:15  | 22.75
2021-03-29 | 03:44:16  | 22.69
2021-03-29 | 03:49:16  | 22.75
2021-03-29 | 03:54:16  | 22.69
2021-03-29 | 03:59:16  | 22.69
2021-03-29 | 04:04:16  | 22.75
2021-03-29 | 04:09:16  | 22.75
2021-03-29 | 04:14:16  | 22.81
2021-03-29 | 04:19:16  | 22.81
2021-03-29 | 04:24:16  | 22.81
2021-03-29 | 04:29:16  | 22.81
2021-03-29 | 04:34:16  | 22.81
2021-03-29 | 04:39:16  | 22.81
2021-03-29 | 04:44:16  | 22.75
2021-03-29 | 04:49:16  | 22.75
2021-03-29 | 04:54:17  | 22.75
2021-03-29 | 04:59:17  | 22.75
2021-03-29 | 05:04:17  | 22.69
2021-03-29 | 05:09:17  | 22.69
2021-03-29 | 05:14:17  | 22.69
2021-03-29 | 05:19:17  | 22.63
2021-03-29 | 05:24:17  | 22.63
2021-03-29 | 05:29:17  | 22.63
2021-03-29 | 05:34:17  | 22.63
2021-03-29 | 05:39:17  | 22.63
2021-03-29 | 05:44:17  | 22.63
2021-03-29 | 05:49:17  | 22.69
2021-03-29 | 05:54:17  | 22.75
2021-03-29 | 05:59:17  | 22.75
2021-03-29 | 06:04:17  | 22.75
2021-03-29 | 06:09:18  | 22.81
2021-03-29 | 06:14:18  | 22.81
2021-03-29 | 06:19:18  | 22.81
2021-03-29 | 06:24:18  | 22.81
2021-03-29 | 06:29:18  | 22.75
2021-03-29 | 06:34:18  | 22.75
2021-03-29 | 06:39:18  | 22.75
2021-03-29 | 06:44:18  | 22.75
2021-03-29 | 06:49:18  | 22.75
2021-03-29 | 06:54:18  | 22.75
2021-03-29 | 06:59:18  | 22.75
2021-03-29 | 07:04:18  | 22.75
2021-03-29 | 07:09:18  | 22.69
2021-03-29 | 07:14:18  | 22.69
2021-03-29 | 07:19:18  | 22.69
2021-03-29 | 07:24:18  | 22.69
2021-03-29 | 07:29:19  | 22.69
2021-03-29 | 07:34:19  | 22.75
2021-03-29 | 07:39:19  | 22.69
2021-03-29 | 07:44:19  | 22.69
2021-03-29 | 07:49:19  | 22.69
2021-03-29 | 07:54:19  | 22.69
2021-03-29 | 07:59:19  | 22.69
2021-03-29 | 08:04:19  | 22.69
2021-03-29 | 08:09:19  | 22.69
2021-03-29 | 08:14:19  | 22.75
2021-03-29 | 08:19:19  | 22.75
2021-03-29 | 08:24:19  | 22.75
2021-03-29 | 08:30:18  | 22.75
