   data    |  godzina  | wartość temperatury
2021-03-27 | 00:03:31  | 23.94
2021-03-27 | 00:08:31  | 23.94
2021-03-27 | 00:13:32  | 23.94
2021-03-27 | 00:18:32  | 23.94
2021-03-27 | 00:23:32  | 24
2021-03-27 | 00:28:32  | 24
2021-03-27 | 00:33:32  | 24.06
2021-03-27 | 00:38:32  | 24
2021-03-27 | 00:43:32  | 23.88
2021-03-27 | 00:48:32  | 23.81
2021-03-27 | 00:53:32  | 23.75
2021-03-27 | 00:58:32  | 23.69
2021-03-27 | 01:03:32  | 23.69
2021-03-27 | 01:08:32  | 23.63
2021-03-27 | 01:13:32  | 23.56
2021-03-27 | 01:18:32  | 23.56
2021-03-27 | 01:23:33  | 23.5
2021-03-27 | 01:28:33  | 23.44
2021-03-27 | 01:33:33  | 23.44
2021-03-27 | 01:38:33  | 23.44
2021-03-27 | 01:43:33  | 23.44
2021-03-27 | 01:48:33  | 23.44
2021-03-27 | 01:53:33  | 23.44
2021-03-27 | 01:58:33  | 23.44
2021-03-27 | 02:03:33  | 23.44
2021-03-27 | 02:08:33  | 23.44
2021-03-27 | 02:13:33  | 23.44
2021-03-27 | 02:18:33  | 23.44
2021-03-27 | 02:23:33  | 23.44
2021-03-27 | 02:28:33  | 23.38
2021-03-27 | 02:33:33  | 23.38
2021-03-27 | 02:38:34  | 23.31
2021-03-27 | 02:43:34  | 23.31
2021-03-27 | 02:48:34  | 23.25
2021-03-27 | 02:53:34  | 23.25
2021-03-27 | 02:58:34  | 23.25
2021-03-27 | 03:03:34  | 23.19
2021-03-27 | 03:08:34  | 23.19
2021-03-27 | 03:13:34  | 23.13
2021-03-27 | 03:18:34  | 23.13
2021-03-27 | 03:23:34  | 23.13
2021-03-27 | 03:28:34  | 23.06
2021-03-27 | 03:33:34  | 23.06
2021-03-27 | 03:38:34  | 23.06
2021-03-27 | 03:43:34  | 23.06
2021-03-27 | 03:48:34  | 23.06
2021-03-27 | 03:53:35  | 23.06
2021-03-27 | 03:58:35  | 23.06
2021-03-27 | 04:03:35  | 23
2021-03-27 | 04:08:35  | 23.06
2021-03-27 | 04:13:35  | 23
2021-03-27 | 04:18:35  | 23
2021-03-27 | 04:23:35  | 23
2021-03-27 | 04:28:35  | 23
2021-03-27 | 04:33:35  | 23
2021-03-27 | 04:38:35  | 23
2021-03-27 | 04:43:35  | 23
