   data    |  godzina  | wartość temperatury
2021-03-28 | 00:03:54  | 23.06
2021-03-28 | 00:08:54  | 23
2021-03-28 | 00:13:54  | 23
2021-03-28 | 00:18:54  | 23
2021-03-28 | 00:23:54  | 22.94
2021-03-28 | 00:28:54  | 22.94
2021-03-28 | 00:33:54  | 22.94
2021-03-28 | 00:38:54  | 22.94
2021-03-28 | 00:43:55  | 22.94
2021-03-28 | 00:48:55  | 23
2021-03-28 | 00:53:55  | 23
2021-03-28 | 00:58:55  | 23
2021-03-28 | 01:03:55  | 22.94
2021-03-28 | 01:08:55  | 22.94
2021-03-28 | 01:13:55  | 22.94
2021-03-28 | 01:18:55  | 22.94
2021-03-28 | 01:23:55  | 22.94
2021-03-28 | 01:28:55  | 22.88
2021-03-28 | 01:33:55  | 22.88
2021-03-28 | 01:38:55  | 22.81
2021-03-28 | 01:43:55  | 22.81
2021-03-28 | 01:48:55  | 22.81
2021-03-28 | 01:53:55  | 22.75
2021-03-28 | 01:58:56  | 22.75
2021-03-28 | 03:03:56  | 22.75
2021-03-28 | 03:08:56  | 22.69
2021-03-28 | 03:13:56  | 22.69
2021-03-28 | 03:18:56  | 22.69
2021-03-28 | 03:23:56  | 22.63
2021-03-28 | 03:28:56  | 22.63
2021-03-28 | 03:33:56  | 22.63
2021-03-28 | 03:38:56  | 22.63
2021-03-28 | 03:43:56  | 22.63
2021-03-28 | 03:48:56  | 22.63
2021-03-28 | 03:53:56  | 22.63
2021-03-28 | 03:58:57  | 22.69
2021-03-28 | 04:03:57  | 22.69
2021-03-28 | 04:08:57  | 22.75
2021-03-28 | 04:13:57  | 22.75
2021-03-28 | 04:18:57  | 22.81
2021-03-28 | 04:23:57  | 22.81
2021-03-28 | 04:28:57  | 22.81
2021-03-28 | 04:33:57  | 22.81
2021-03-28 | 04:38:57  | 22.81
2021-03-28 | 04:43:57  | 22.75
2021-03-28 | 04:48:57  | 22.75
2021-03-28 | 04:53:57  | 22.75
2021-03-28 | 04:58:57  | 22.75
2021-03-28 | 05:03:57  | 22.69
2021-03-28 | 05:08:57  | 22.63
2021-03-28 | 05:13:58  | 22.63
2021-03-28 | 05:18:58  | 22.63
2021-03-28 | 05:23:58  | 22.63
2021-03-28 | 05:28:58  | 22.56
2021-03-28 | 05:33:58  | 22.56
2021-03-28 | 05:38:58  | 22.56
2021-03-28 | 05:43:58  | 22.5
2021-03-28 | 05:48:58  | 22.44
2021-03-28 | 05:53:58  | 22.44
2021-03-28 | 05:58:58  | 22.5
2021-03-28 | 06:03:58  | 22.5
2021-03-28 | 06:08:58  | 22.5
2021-03-28 | 06:13:58  | 22.5
2021-03-28 | 06:18:58  | 22.5
2021-03-28 | 06:23:58  | 22.5
2021-03-28 | 06:28:58  | 22.5
2021-03-28 | 06:33:59  | 22.56
2021-03-28 | 06:38:59  | 22.56
2021-03-28 | 06:43:59  | 22.56
2021-03-28 | 06:48:59  | 22.56
2021-03-28 | 06:53:59  | 22.56
2021-03-28 | 06:58:59  | 22.5
2021-03-28 | 07:03:59  | 22.56
2021-03-28 | 07:08:59  | 22.56
2021-03-28 | 07:13:59  | 22.5
2021-03-28 | 07:18:59  | 22.5
2021-03-28 | 07:23:59  | 22.56
2021-03-28 | 07:28:59  | 22.56
2021-03-28 | 07:33:59  | 22.5
2021-03-28 | 07:38:59  | 22.5
2021-03-28 | 07:44:00  | 22.44
2021-03-28 | 07:49:00  | 22.5
2021-03-28 | 07:54:00  | 22.56
2021-03-28 | 07:59:00  | 22.56
2021-03-28 | 08:04:00  | 22.56
2021-03-28 | 08:09:00  | 22.56
2021-03-28 | 08:14:00  | 22.56
2021-03-28 | 08:19:00  | 22.56
2021-03-28 | 08:24:00  | 22.63
2021-03-28 | 08:29:00  | 22.69
2021-03-28 | 08:34:00  | 22.75
2021-03-28 | 08:39:00  | 22.75
2021-03-28 | 08:44:00  | 22.81
2021-03-28 | 08:49:00  | 22.81
2021-03-28 | 08:54:00  | 22.88
2021-03-28 | 08:59:00  | 22.88
2021-03-28 | 09:04:00  | 22.94
2021-03-28 | 09:09:00  | 22.94
2021-03-28 | 09:14:01  | 22.94
2021-03-28 | 09:19:01  | 22.94
2021-03-28 | 09:24:01  | 23
2021-03-28 | 09:29:01  | 23
2021-03-28 | 09:34:01  | 23
2021-03-28 | 09:39:01  | 23
2021-03-28 | 09:44:01  | 23.06
2021-03-28 | 09:49:01  | 23.06
2021-03-28 | 09:54:01  | 23.13
2021-03-28 | 09:59:01  | 23.13
2021-03-28 | 10:04:01  | 23.06
2021-03-28 | 10:09:01  | 23.13
2021-03-28 | 10:14:01  | 23.13
2021-03-28 | 10:19:01  | 23.13
2021-03-28 | 10:24:01  | 23.13
2021-03-28 | 10:29:01  | 23.13
2021-03-28 | 10:34:02  | 23.13
2021-03-28 | 10:39:02  | 23.13
2021-03-28 | 10:44:02  | 23.13
2021-03-28 | 10:49:02  | 23.19
2021-03-28 | 10:54:02  | 23.19
2021-03-28 | 10:59:02  | 23.19
2021-03-28 | 11:04:02  | 23.19
2021-03-28 | 11:09:02  | 23.13
2021-03-28 | 11:14:02  | 23.13
2021-03-28 | 11:19:02  | 23.13
2021-03-28 | 11:24:02  | 23.19
2021-03-28 | 11:29:02  | 23.19
2021-03-28 | 11:34:02  | 23.19
2021-03-28 | 11:39:02  | 23.19
2021-03-28 | 11:44:02  | 23.19
2021-03-28 | 11:49:03  | 23.19
2021-03-28 | 11:54:03  | 23.19
2021-03-28 | 11:59:03  | 23.19
2021-03-28 | 12:04:03  | 23.19
2021-03-28 | 12:09:03  | 23.25
2021-03-28 | 12:14:03  | 23.25
2021-03-28 | 12:19:03  | 23.19
2021-03-28 | 12:24:03  | 23.19
2021-03-28 | 12:29:03  | 23.19
2021-03-28 | 12:34:03  | 23.19
2021-03-28 | 12:39:03  | 23.19
2021-03-28 | 12:44:03  | 23.19
2021-03-28 | 12:49:03  | 23.25
2021-03-28 | 12:54:03  | 23.19
2021-03-28 | 12:59:03  | 23.19
2021-03-28 | 13:04:04  | 23.19
2021-03-28 | 13:09:04  | 23.19
2021-03-28 | 13:14:04  | 23.19
2021-03-28 | 13:19:04  | 23.19
2021-03-28 | 13:24:04  | 23.19
2021-03-28 | 13:29:04  | 23.25
2021-03-28 | 13:34:04  | 23.25
2021-03-28 | 13:39:04  | 23.25
2021-03-28 | 13:44:04  | 23.25
2021-03-28 | 13:49:04  | 23.25
2021-03-28 | 13:54:04  | 23.25
2021-03-28 | 13:59:04  | 23.25
2021-03-28 | 14:04:04  | 23.31
2021-03-28 | 14:09:04  | 23.25
2021-03-28 | 14:14:04  | 23.25
2021-03-28 | 14:19:05  | 23.31
2021-03-28 | 14:24:05  | 23.31
2021-03-28 | 14:29:05  | 23.31
2021-03-28 | 14:34:05  | 23.31
2021-03-28 | 14:39:05  | 23.31
2021-03-28 | 14:44:05  | 23.31
2021-03-28 | 14:49:05  | 23.38
2021-03-28 | 14:54:05  | 23.38
2021-03-28 | 14:59:05  | 23.38
2021-03-28 | 15:04:05  | 23.31
2021-03-28 | 15:09:05  | 23.31
2021-03-28 | 15:14:05  | 23.38
2021-03-28 | 15:19:05  | 23.31
2021-03-28 | 15:24:05  | 23.31
2021-03-28 | 15:29:05  | 23.31
2021-03-28 | 15:34:06  | 23.31
2021-03-28 | 15:39:06  | 23.31
2021-03-28 | 15:44:06  | 23.31
2021-03-28 | 15:49:06  | 23.31
2021-03-28 | 15:54:06  | 23.38
2021-03-28 | 15:59:06  | 23.38
2021-03-28 | 16:04:06  | 23.44
2021-03-28 | 16:09:06  | 23.44
2021-03-28 | 16:14:06  | 23.44
2021-03-28 | 16:19:06  | 23.44
2021-03-28 | 16:24:06  | 23.44
2021-03-28 | 16:29:06  | 23.44
2021-03-28 | 16:34:06  | 23.44
2021-03-28 | 16:39:06  | 23.44
2021-03-28 | 16:44:06  | 23.44
2021-03-28 | 16:49:07  | 23.44
2021-03-28 | 16:54:07  | 23.44
2021-03-28 | 16:59:07  | 23.44
2021-03-28 | 17:04:07  | 23.38
2021-03-28 | 17:09:07  | 23.44
2021-03-28 | 17:14:07  | 23.38
2021-03-28 | 17:19:07  | 23.38
2021-03-28 | 17:24:07  | 23.31
2021-03-28 | 17:29:07  | 23.31
2021-03-28 | 17:34:07  | 23.31
2021-03-28 | 17:39:07  | 23.38
2021-03-28 | 17:44:07  | 23.38
2021-03-28 | 17:49:07  | 23.38
2021-03-28 | 17:54:07  | 23.38
2021-03-28 | 17:59:07  | 23.38
2021-03-28 | 18:04:08  | 23.38
2021-03-28 | 18:09:08  | 23.31
2021-03-28 | 18:14:08  | 23.31
2021-03-28 | 18:19:08  | 23.25
2021-03-28 | 18:24:08  | 23.25
2021-03-28 | 18:29:08  | 23.19
2021-03-28 | 18:34:08  | 23.19
2021-03-28 | 18:39:08  | 23.25
2021-03-28 | 18:44:08  | 23.25
2021-03-28 | 18:49:08  | 23.38
2021-03-28 | 18:54:08  | 23.38
2021-03-28 | 18:59:09  | 23.44
2021-03-28 | 19:04:09  | 23.44
2021-03-28 | 19:09:09  | 23.5
2021-03-28 | 19:14:09  | 23.5
2021-03-28 | 19:19:09  | 23.5
2021-03-28 | 19:24:09  | 23.5
2021-03-28 | 19:29:09  | 23.56
2021-03-28 | 19:34:09  | 23.69
2021-03-28 | 19:39:09  | 23.69
2021-03-28 | 19:44:09  | 23.75
2021-03-28 | 19:49:09  | 23.75
2021-03-28 | 19:54:09  | 23.81
2021-03-28 | 19:59:09  | 23.81
2021-03-28 | 20:04:09  | 23.81
2021-03-28 | 20:09:10  | 23.88
2021-03-28 | 20:14:10  | 23.88
2021-03-28 | 20:19:10  | 23.88
2021-03-28 | 20:24:10  | 23.88
2021-03-28 | 20:29:10  | 23.88
2021-03-28 | 20:34:10  | 23.88
2021-03-28 | 20:39:10  | 23.88
2021-03-28 | 20:44:10  | 23.88
2021-03-28 | 20:49:10  | 23.88
2021-03-28 | 20:54:10  | 23.88
2021-03-28 | 20:59:10  | 23.88
2021-03-28 | 21:04:10  | 23.88
2021-03-28 | 21:09:10  | 23.88
2021-03-28 | 21:14:10  | 23.88
2021-03-28 | 21:19:10  | 23.88
2021-03-28 | 21:24:11  | 23.81
2021-03-28 | 21:29:11  | 23.81
2021-03-28 | 21:34:11  | 23.81
2021-03-28 | 21:39:11  | 23.81
2021-03-28 | 21:44:11  | 23.81
2021-03-28 | 21:49:11  | 23.81
2021-03-28 | 21:54:11  | 23.81
2021-03-28 | 21:59:11  | 23.81
2021-03-28 | 22:04:11  | 23.81
2021-03-28 | 22:09:11  | 23.81
2021-03-28 | 22:14:11  | 23.75
2021-03-28 | 22:19:11  | 23.75
2021-03-28 | 22:24:11  | 23.75
2021-03-28 | 22:29:11  | 23.75
2021-03-28 | 22:34:12  | 23.75
2021-03-28 | 22:39:12  | 23.75
2021-03-28 | 22:44:12  | 23.69
2021-03-28 | 22:49:12  | 23.75
2021-03-28 | 22:54:12  | 23.69
2021-03-28 | 22:59:12  | 23.69
2021-03-28 | 23:04:12  | 23.63
2021-03-28 | 23:09:12  | 23.63
2021-03-28 | 23:14:12  | 23.63
2021-03-28 | 23:19:12  | 23.56
2021-03-28 | 23:24:12  | 23.56
2021-03-28 | 23:29:12  | 23.56
2021-03-28 | 23:34:12  | 23.5
2021-03-28 | 23:39:12  | 23.44
2021-03-28 | 23:44:12  | 23.38
2021-03-28 | 23:49:12  | 23.38
2021-03-28 | 23:54:12  | 23.38
2021-03-28 | 23:59:13  | 23.44
